T,19693,AT&T Inc.,29.67,$211.4B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/t,
A,16889,"Agilent Technologies, Inc.",97.78,$30.19B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a,
L,9894,Loews Corporation,35.61,$9.99B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/l,
B,9718,"Barnes Group, Inc.",38.38,$1.94B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/b,
E,8635,ENI S.p.A.,18.7,$33.4B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/e,
W,8579,Wayfair Inc.,328.96,$31.38B,2014,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/w,
D,8445,"Dominion Energy, Inc.",77.7,$65.28B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/d,
O,8108,Realty Income Corporation,61.01,$21.05B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/o,
M,7719,Macy&#39;s Inc,6.28,$1.95B,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/m,
C,7539,Citigroup Inc.,49.58,$103.22B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/c,
R,6777,"Ryder System, Inc.",39.21,$2.11B,n/a,Consumer Services,Rental/Leasing Companies,https://old.nasdaq.com/symbol/r,
Y,6427,Alleghany Corporation,533.64,$7.64B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/y,
H,6221,Hyatt Hotels Corporation,53.82,$5.44B,2009,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/h,
F,5980,Ford Motor Company,6.84,$27.21B,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/f,
G,5011,Genpact Limited,41.3,$7.88B,2007,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/g,
V,4304,Visa Inc.,204.15,$434.4B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/v,
K,2877,Kellogg Company,68.74,$23.57B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/k,
TS,2533,Tenaris S.A.,11.68,$6.89B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/ts,
TSLA,2331,"Tesla, Inc. ",2001.83,$373.06B,2010,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/tsla,
J,2114,Jacobs Engineering Group Inc.,89.03,$11.59B,n/a,Basic Industries,Military/Government/Technical,https://old.nasdaq.com/symbol/j,
SB,1274,"Safe Bulkers, Inc",1.17,$119.48M,2008,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sb,
